,Date.of.Finan..cial.Period.Before.Offer,Issue.Date,Issuer,Business.Description,Nation,Ticker.Symbol,Principal.Amount....mil.,Proceeds,Offer.Price,Type.of.Security,IPO.Flag..Y.N.,Notable VC,Investment.Bank..Lead.Left.,Additional.Lead.Underwriters,Total.VC.Funding.Raised,Age.of.Firm,Total.Revenues.in.Previous.Year,Total.Revenues.Last.Reported,Selling.and.Marketing,Total.Operating.Expenses,Net.Income,Net.Income.Margin,Long.Term.Debt,Total.Assets,Long.Term.Debt.to.Total.Asset.Ratio,HalfYearChange,X..Stock...Price..180.Days...After...Offer,market_performance,VIX_before,OneDayChange,FirstDayClose
101,01/31/18,04/11/18,Zuora Inc,Pvd relationship business mgmt solutions,United States,ZUO,154.0,154.0,14.0,Class A Shares,Yes,"Lehman Brothers Venture Partners LP
Redpoint Ventures
Shasta Ventures LP
Index Ventures SA
Benchmark Capital
Undisclosed Firm
Greylock Partners LLC
Benchmark Capital
Northgate Capital LLC
Undisclosed Firm
Greylock Partners LLC
Redpoint Ventures
Index Ventures SA
Vulcan Capital
NextWorld Capital LLC
Shasta Ventures LP
Undisclosed Firm
BlackRock Inc
Undisclosed Firm
Passport Capital LLC
Benchmark Capital
Shasta Ventures LP
Benchmark Capital
Lehman Brothers Venture Partners LP
Undisclosed Firm
Redpoint Ventures
Benchmark Capital
Greylock Partners LLC
Index Ventures SA
Shasta Ventures LP
Lehman Brothers Venture Partners LP
NextWorld Capital LLC
Vulcan Capital
Undisclosed Firm
Redpoint Ventures
Benchmark Capital
Shasta Ventures LP
Redpoint Ventures
Undisclosed Firm
Lehman Brothers Venture Partners LP
Redpoint Ventures
Vulcan Capital
Index Ventures SA
Benchmark Capital
Undisclosed Firm
BlackRock Inc
Passport Capital LLC
Undisclosed Firm
Undisclosed Firm
Greylock Partners LLC
Shasta Ventures LP
NextWorld Capital LLC",,,"242,525.0",,,,,,,,,,,,,,,,
102,3/31/18,4/25/18,nLIGHT Inc,Semiconductor and Related Device Manufacturing,United States,LASR,96,96,16,Common Shares,Yes,"Undisclosed Firm
Oak Investment Partners
Oak Investment Partners
Undisclosed Firm
Menlo Ventures
Undisclosed Firm
Mohr Davidow Ventures
Menlo Ventures
Oak Investment Partners
Samsung Corp
Oak Investment Partners
Menlo Ventures
Adams Capital Management, Inc.
Mohr Davidow Ventures
Mohr Davidow Ventures
Menlo Ventures
Mohr Davidow Ventures
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Mohr Davidow Ventures
Oak Investment Partners
Undisclosed Firm
Mohr Davidow Ventures
Cedar Grove Investments LLC
Smac Partners GmbH
Undisclosed Firm
Mohr Davidow Ventures
Oak Investment Partners
Menlo Ventures
Adams Capital Management, Inc.
Oak Investment Partners
Undisclosed Firm
Menlo Ventures
Mohr Davidow Ventures
Menlo Ventures
Mohr Davidow Ventures
Oak Investment Partners
Adams Capital Management, Inc.
Oak Investment Partners
Oak Investment Partners
Undisclosed Firm
Menlo Ventures
Undisclosed Firm
Mohr Davidow Ventures
Oak Investment Partners
Menlo Ventures
Undisclosed Firm
Cedar Grove Investments LLC
Adams Capital Management, Inc.
Mohr Davidow Ventures
Oak Investment Partners
Menlo Ventures
Oak Investment Partners",Stifel,1,"180,205.1",NA,101.325,138.58,NA,34.476,1.837,1.33%,15.108,8,13.00%,12.5,18,-0.005582513,17.84,68.44%,26.950001
103,1/31/18,4/26/18,DocuSign Inc,Develop Internet software,United States,DOCU,629.3,629.3,29,Common Shares,Yes,"Kleiner Perkins
Kleiner Perkins
Sigma Partners
Sigma Partners
Sapphire Ventures LLC
GV Management Co LLC
Accel Partners & Co Inc
Undisclosed Firm
Comcast Ventures
Undisclosed Firm
Undisclosed Firm
Telstra Corporation Ltd
NTT Finance Corp
Scale Venture Partners
Accel Partners & Co Inc
Sigma Partners
Comcast Ventures
GV Management Co LLC
Undisclosed Firm
Undisclosed Firm
Sapphire Ventures LLC
Frazier Management LLC
Ignition Ventures Management LLC
Kleiner Perkins
Undisclosed Firm
Dell Ventures LP
Intel Capital Corp
Sigma Partners
Sigma Partners
Sigma Partners
Sigma Partners
BBVA Ventures
Scale Venture Partners
Scale Venture Partners
Undisclosed Firm
Brookside International
Ignition Ventures Management LLC
Undisclosed Firm
Undisclosed Firm
Sands Capital Management LLC
Bain Capital Venture Partners LLC
Ignition Ventures Management LLC
Sigma Partners
Undisclosed Firm
Frazier Management LLC
Mitsui & Co Global Investment Ltd
Samsung Venture Investment Corp
Bessemer Venture Partners
Second Century Ventures LLC
Bessemer Venture Partners
Ignition Ventures Management LLC
Ignition Ventures Management LLC
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Ignition Ventures Management LLC
WestRiver Capital
Second Century Ventures LLC
Second Century Ventures LLC
Recruit Holdings Co Ltd
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
EDB Investments Pte Ltd
Ignition Ventures Management LLC
Ignition Ventures Management LLC
Ignition Ventures Management LLC
Ignition Ventures Management LLC
Ignition Ventures Management LLC
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
Undisclosed Firm
Kleiner Perkins
Wellington Management Company LLP
Generation Investment Management LLP
Undisclosed Firm
Bain Capital Venture Partners LLC
Bain Capital Venture Partners LLC
Undisclosed Firm
Sapphire Ventures LLC
Accel Partners & Co Inc
Ignition Ventures Management LLC
Undisclosed Firm
Kleiner Perkins
Comcast Ventures",Morgan Stanley,1,"548,817.6",NA,229.127,381.549,240.787,394.799,-115.412,-30.25%,0,59,0.00%,35.07,39.17,0.021910943,16.24,37.00%,39.73
104,03/31/18,05/03/18,Carbon Black Inc,Software Publishers,United States,CBLK,152.0,152.0,19.0,Common Shares,Yes,"Kleiner Perkins
Kleiner Perkins
Kleiner Perkins
406 Ventures LLC
406 Ventures LLC
Undisclosed Firm
Atlas Venture Advisors Inc
Highland Capital Partners LLC
Highland Capital Partners LLC
Highland Capital Partners LLC
Blackstone Group Inc
Highland Capital Partners LLC
Undisclosed Firm
Highland Capital Partners LLC
406 Ventures LLC
406 Ventures LLC
Top Tier Capital Partners LLC
Sequoia Capital Operations LLC
Atlas Venture Advisors Inc
Atlas Venture Advisors Inc
Atlas Venture Advisors Inc
Kleiner Perkins
Highland Capital Partners LLC
Kleiner Perkins
Accomplice LLC
Blackstone Group Inc
Founders Circle Capital
Kleiner Perkins
406 Ventures LLC
Evolution Equity Partners GmbH
Sequoia Capital Operations LLC
Kleiner Perkins
Undisclosed Firm
Sequoia Capital Operations LLC
Kleiner Perkins
406 Ventures LLC
Highland Capital Partners LLC
Blackstone Group Inc
Highland Capital Partners LLC
Sequoia Capital Operations LLC
Atlas Venture Advisors Inc
406 Ventures LLC
Kleiner Perkins
Atlas Venture Advisors Inc
Atlas Venture Advisors Inc
Atlas Venture Advisors Inc",,,"189,716.1",,,,,,,,,,,,,,,,
105,03/31/18,06/14/18,Avalara Inc,Dvlp sales tax calculation software,United States,AVLR,180.0,180.0,24.0,Common Shares,Yes,"Warburg Pincus LLC
Benaroya Co
Benaroya Co
Battery Ventures LP
Sageview Capital LP
Benaroya Co
Undisclosed Firm
Undisclosed Firm
Battery Ventures LP
Benaroya Co
Benaroya Co
Benaroya Co
Benaroya Co
Warburg Pincus LLC
Benaroya Co
Benaroya Co
Benaroya Co
Benaroya Co
Benaroya Co
Battery Ventures LP
Sageview Capital LP
Warburg Pincus LLC
Arthur Ventures LLC
Warburg Pincus LLC
Undisclosed Firm
Technology Crossover Ventures LP
Warburg Pincus LLC
Pioneer Venture Partners LLC
Battery Ventures LP
Sageview Capital LP
Technology Crossover Ventures LP
Warburg Pincus LLC
Undisclosed Firm
Battery Ventures LP
Battery Ventures LP
Battery Ventures LP
Undisclosed Firm
Sageview Capital LP
Sageview Capital LP
Undisclosed Firm
Arthur Ventures LLC
Pioneer Venture Partners LLC
Pioneer Venture Partners LLC
Pioneer Venture Partners LLC
Pioneer Venture Partners LLC
Pioneer Venture Partners LLC
Battery Ventures LP
Benaroya Co
BIP Wealth LLC
Warburg Pincus LLC
Warburg Pincus LLC",,,"397,805.0",,,,,,,,,,,,,,,,
106,3/31/18,8/1/18,Sonos Inc,Dvlp digital music software,United States,SONO,208.333,208.3,15,Common Shares,Yes,"e.ventures
e.ventures
Redpoint Ventures
Undisclosed Firm
KKR & Co Inc
KKR & Co Inc
KKR & Co Inc
Redpoint Ventures
Greenspring Associates Inc
Index Ventures SA
Index Ventures SA
Elevation Partners LP
Elevation Partners LP
Index Ventures SA
IGSB Investment",Morgan Stanley,2,"244,799.9",NA,901.284,992.526,270.162,471.674,-38.214,-3.85%,39.657,37,11.31%,-25.333,11.2,0.033105277,13.15,32.73%,19.91
107,12/31/18,03/28/19,Lyft Inc,Software Reproducing,United States,LYFT,2340.0,2340.0,72.0,Class A Shares,Yes,"Fontinalis Partners LLC
K9 Ventures LLC
Floodgate Fund LP
K9 Ventures LLC
Undisclosed Firm
Rakuten Inc
Undisclosed Firm
Mayfield Fund LLC
Floodgate Fund LP
Founders Fund, The
Founders Fund, The
Andreessen Horowitz LLC
Mayfield Fund LLC
Undisclosed Firm
Mayfield Fund LLC
Founders Fund, The
Undisclosed Firm
Andreessen Horowitz LLC
Alibaba Capital Partners
Rakuten Inc
Undisclosed Firm
Andreessen Horowitz LLC
Undisclosed Firm
Undisclosed Firm
Kingdom Holding Co
Undisclosed Firm
Rakuten Inc
Alibaba Capital Partners
Undisclosed Firm
Rakuten Inc
Undisclosed Firm
AllianceBernstein LP
Undisclosed Firm
KKR & Co Inc
Inmotion Ventures Ltd
Public Sector Pension Investment Board
CapitalG Management Company LLC
Undisclosed Firm
Ontario Teachers Pension Plan Board
AllianceBernstein LP
Undisclosed Firm
KKR & Co Inc
Henderson Global Investors Ltd
Undisclosed Firm
Undisclosed Firm",,,"4,812,199.8",,,,,,,,,,,,,,,,
108,10/31/18,04/10/19,Pagerduty Inc,All Other Telecommunications,United States,PD,217.7,217.7,24.0,Common Shares,Yes,"Bessemer Venture Partners
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Bessemer Venture Partners
Baseline Ventures LLC
Harrison Metal Capital
Accel Partners & Co Inc
Wellington Management Company LLP
Accel Partners & Co Inc
Undisclosed Firm
Baseline Ventures LLC
Baseline Ventures LLC
Undisclosed Firm
Andreessen Horowitz LLC
Ignition Ventures Management LLC
Bessemer Venture Partners
Andreessen Horowitz LLC
Webb Investment Network LLC
Ignition Ventures Management LLC
Harrison Metal Capital
Harrison Metal Capital
Bessemer Venture Partners
Baseline Ventures LLC
Andreessen Horowitz LLC",,,"171,701.9",,,,,,,,,,,,,,,,
109,1/31/19,4/17/19,Zoom Video Communications Inc,Software Publishers,United States,ZM,751.304,751.3,36,Class A Shares,Yes,"Glencoe Capital LLC
Undisclosed Firm
Undisclosed Firm
FirstMark Capital LLC
Andreessen Horowitz LLC
Undisclosed Firm
FirstMark Capital LLC
Fidelity Investment Funds II
Bessemer Venture Partners
Andreessen Horowitz LLC
Undisclosed Firm
SV Angel
Andreessen Horowitz LLC
Goldman Sachs & Co LLC
Fidelity Investment Funds II
SV Angel
Bessemer Venture Partners
Undisclosed Firm
Fidelity Investment Funds II
Andreessen Horowitz LLC
FirstMark Capital LLC
Bessemer Venture Partners
Undisclosed Firm
Bessemer Venture Partners
FirstMark Capital LLC
Andreessen Horowitz LLC
FirstMark Capital LLC
FirstMark Capital LLC
Andreessen Horowitz LLC
SV Angel
Undisclosed Firm
Fidelity Investment Funds II
Undisclosed Firm
Andreessen Horowitz LLC
Bessemer Venture Partners
Undisclosed Firm
Undisclosed Firm
Bessemer Venture Partners
Wellington Management Company LLP
FirstMark Capital LLC",Morgan Stanley,3,"1,368,100.0",NA,151.478,330.517,185.821,263.349,7.584,2.29%,0,40,0.00%,97.53,71.11,0.025218805,12.6,72.22%,62
110,03/31/19,04/17/19,Pinterest Inc,Pvd online networking services,United States,PINS,1425.0,1425.0,19.0,Class A Shares,Yes,"Undisclosed Firm
Horizons Ventures Ltd
Qualcomm Ventures
Undisclosed Firm
Sequoia Capital Operations LLC
Emergence Capital Partners LLC
AME Cloud Ventures LLC
Undisclosed Firm
Qualcomm Ventures
Emergence Capital Partners LLC
Horizons Ventures Ltd
Qualcomm Ventures
Undisclosed Firm",,,"157,465.8",,,,,,,,,,,,,,,,
111,03/30/19,05/01/19,Beyond Meat Inc,Meat Markets,United States,BYND,240.6,240.6,25.0,Common Shares,Yes,"Obvious Ventures Management LLC
Union Grove Venture Partners 2014 LLC
Greatpoint Investment Management LLC
Union Grove Venture Partners 2014 LLC
Tyson New Ventures LLC
Cleveland Avenue LLC
Obvious Ventures Management LLC
Kleiner Perkins
Undisclosed Firm
Cleveland Avenue LLC
Kleiner Perkins
Kleiner Perkins
Undisclosed Firm
Kleiner Perkins
Undisclosed Firm
Undisclosed Firm
Morgan Creek Capital Management LLC
Undisclosed Firm
Undisclosed Firm
Kleiner Perkins
S2G Ventures LLC
Undisclosed Firm
Closed Loop Capital
Undisclosed Firm
Undisclosed Firm
Tyson New Ventures LLC
Undisclosed Firm
Cleveland Avenue LLC
Undisclosed Firm
Lauder Partners LLC",,,"162,076.9",,,,,,,,,,,,,,,,
112,04/30/19,06/11/19,Crowdstrike Holdings Inc,Software Publishers,United States,CRWD,612.0,612.0,34.0,Class A Shares,Yes,"Warburg Pincus LLC
Undisclosed Firm
Undisclosed Firm
Warburg Pincus LLC
Warburg Pincus LLC
Undisclosed Firm
Warburg Pincus LLC
Accel Partners & Co Inc
Okapi Venture Capital LLC
CapitalG Management Company LLC
Undisclosed Firm
Warburg Pincus LLC
Accel Partners & Co Inc
Accel Partners & Co Inc
Warburg Pincus LLC
Undisclosed Firm
GV Management Co LLC
Warburg Pincus LLC
General Atlantic LLC
Accel Partners & Co Inc
Institutional Venture Partners
March Capital Partners GP LLC
CapitalG Management Company LLC
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
CapitalG Management Company LLC
Undisclosed Firm
March Capital Partners GP LLC",,,"648,149.0",,,,,,,,,,,,,,,,
113,04/30/19,07/18/19,Medallia Inc,Software Publishers,United States,MDLA,325.5,325.5,21.0,Common Shares,Yes,"Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Undisclosed Firm",,,"305,332.0",,,,,,,,,,,,,,,,
114,06/30/19,07/24/19,Health Catalyst Inc,Computer Systems Design Services,United States,HCAT,182.0,182.0,26.0,Common Shares,Yes,"Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Norwest Venture Partners
Norwest Venture Partners
Sequoia Capital Operations LLC
Sands Capital Management LLC
Norwest Venture Partners
Undisclosed Firm
Sequoia Capital Operations LLC
Sorenson Capital Partners LP
Kaiser Permanente Ventures LLC
Norwest Venture Partners
CHV Capital Inc
Sorenson Capital Partners LP
CHV Capital Inc
Kaiser Permanente Ventures LLC
Epic Ventures Inc
Sands Capital Management LLC
Sequoia Capital Operations LLC
Norwest Venture Partners
Kaiser Permanente Ventures LLC
Sorenson Capital Partners LP
CHV Capital Inc
Undisclosed Firm
Lehman Brothers Venture Partners LP
Leavitt Equity Partners LLC
OrbiMed Advisors LLC
Norwest Venture Partners
UPMC Enterprises
Kaiser Permanente Ventures LLC
Norwest Venture Partners
Sands Capital Management LLC
Epic Ventures Inc
Lehman Brothers Venture Partners LP
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Sequoia Capital Operations LLC
Kaiser Permanente Ventures LLC
CHV Capital Inc
Leavitt Equity Partners LLC
Undisclosed Firm
Leerink Capital Partners LLC
Undisclosed Firm",,,"325,000.8",,,,,,,,,,,,,,,,
115,06/30/19,09/11/19,10X Genomics Inc,Analytical Laboratory Instrument Manufacturing,United States,TXG,390.0,390.0,39.0,Class A Shares,Yes,"Kleiner Perkins
Spark Capital LP
Clayton Dubilier & Rice LLC",,,"380,000.0",,,,,,,,,,,,,,,,
116,06/30/19,09/11/19,SmileDirectClub Inc,Dental Equipment and Supplies Manufacturing,United States,SDC,1346.4,1346.4,23.0,Class A Shares,Yes,"Meritech Capital Partners
SoftBank Group Corp
Foresite Capital Management LLC
Undisclosed Firm
Meritech Capital Partners
Venrock Inc
Paladin Capital Management LLC
Venrock Inc
Undisclosed Firm
Wells Fargo Strategic Capital Inc
Foresite Capital Management LLC
Morgan Stanley Alternative Investment Partners LP
Undisclosed Firm
SoftBank Group Corp
Undisclosed Firm
Venrock Inc
Foresite Capital Management LLC
Paladin Capital Management LLC
Meritech Capital Partners
Wells Fargo Strategic Capital Inc
Paladin Capital Management LLC
Undisclosed Firm
SoftBank Group Corp",,,"195,500.3",,,,,,,,,,,,,,,,
117,06/30/19,09/12/19,Cloudflare Inc,Internet Service Providers,United States,NET,525.0,525.0,15.0,Class A Shares,Yes,"Venrock Inc
Undisclosed Firm
New Enterprise Associates Inc
New Enterprise Associates Inc
Qualcomm Ventures
Undisclosed Firm
CapitalG Management Company LLC
New Enterprise Associates Inc
Pelion Venture Partners
Venrock Inc
Union Square Ventures LLC
Greenspring Associates Inc
Undisclosed Firm
Undisclosed Firm
Venrock Inc
Venrock Inc
Union Square Ventures LLC
Pelion Venture Partners
Pelion Venture Partners
Greenspring Associates Inc
Franklin Templeton Investimentos Brasil Ltda
New Enterprise Associates Inc
Union Square Ventures LLC
Venrock Inc
Pelion Venture Partners
Greenspring Associates Inc
CapitalG Management Company LLC
Undisclosed Firm
Qualcomm Ventures
Undisclosed Firm
Undisclosed Firm",,,"332,000.1",,,,,,,,,,,,,,,,
118,06/30/19,09/25/19,Peloton Interactive Inc,Sporting and Athletic Goods Manufacturing,United States,PTON,1160.0,1160.0,29.0,Class A Shares,Yes,"Wellington Management Company LLP
GGV Capital
Questmark Partners LP
True Ventures LLC
Undisclosed Firm
Tiger Global Management LLC
Balyasny Asset Management LP
Fidelity Investment Funds II
Kleiner Perkins
Undisclosed Firm
True Ventures LLC
Tiger Global Management LLC
Tiger Global Management LLC
Technology Crossover Ventures LP
Tiger Global Management LLC
True Ventures LLC
Wellington Management Company LLP
Undisclosed Firm
Undisclosed Firm
Kleiner Perkins
Balyasny Asset Management LP
Felix Capital Partners LLP
Winslow Capital Management LLC
GGV Capital
Catterton Partners Corp
True Ventures LLC",,,"972,989.0",,,,,,,,,,,,,,,,
119,12/31/18,02/05/20,Casper Sleep Inc,Mattress Manufacturing,United States,CSPR,100.2,100.2,12.0,Common Shares,Yes,"Undisclosed Firm
Lerer Ventures LP
SV Angel
Queensbridge Venture Partners LLC
Institutional Venture Partners
Undisclosed Firm
Lerer Ventures LP
Irving Capital Corp
Undisclosed Firm
Undisclosed Firm
Institutional Venture Partners
Norwest Venture Partners
Undisclosed Firm
Undisclosed Firm
New Enterprise Associates Inc
Undisclosed Firm
Norwest Venture Partners
Norwest Venture Partners
Lerer Ventures LP
Norwest Venture Partners
Vaizra Investments
Correlation Ventures LP
Undisclosed Firm
New Enterprise Associates Inc
Pritzker Group Venture Capital
New Enterprise Associates Inc
Norwest Venture Partners
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Vaizra Investments
New Enterprise Associates Inc
SV Angel
Norwest Venture Partners
Crosslink Capital Inc
Lerer Ventures LP
Silas Capital LLC
Bullish
Undisclosed Firm
Slow Ventures LLC
Undisclosed Firm
Vaizra Investments
Queensbridge Venture Partners LLC
Correlation Ventures LP
Cendana Capital GP LLC
Slow Ventures LLC
Correlation Ventures LP",,,"348,263.5",,,,,,,,,,,,,,,,
120,12/31/16,05/09/19,Uber Technologies Inc,Software Publishers,United States,UBER,"8,100.000","8,100.0",45.000,Common Shares,Yes,"Lowercase Capital LLC
Bezos Expeditions
Benchmark Capital
First Round Capital
Goldman Sachs & Co LLC
First Round Capital
Goldman Sachs & Co LLC
Undisclosed Firm
Benchmark Capital
Undisclosed Firm
Undisclosed Firm
First Round Capital
Menlo Ventures
Bezos Expeditions
Benchmark Capital
GV Management Co LLC
Undisclosed Firm
Qatar Investment Authority
New Enterprise Associates Inc
Lone Pine Capital LLC
Undisclosed Firm
Undisclosed Firm
Tata Capital Ltd
Undisclosed Firm
Summit Partners LP
BlackRock Inc
Kleiner Perkins
Fidelity Investment Funds II
Wellington Management Company LLP
Sequoia Capital Operations LLC
Undisclosed Firm
SoftBank Group Corp
Newview Capital Management LLC
Lauder Partners LLC
Lowercase Capital LLC
First Round Capital
Undisclosed Firm
Foundation Capital LLC
Public Investment Fund
Undisclosed Firm
Founder Collective LP
GV Management Co LLC
TPG Capital Management LP
Menlo Ventures
Goldman Sachs & Co LLC
Undisclosed Firm
Undisclosed Firm
Letterone Holdings SA",,,"11,362,614.3",,,,,,,,,,,,,,,,
121,09/30/18,10/02/18,Upwork Inc,"Data Processing, Hosting, and Related Services",United States,UPWK,187.500,187.5,15.000,Common Shares,Yes,"Globespan Capital Partners
Undisclosed Firm
Benchmark Capital
FirstMark Capital LLC
Jackson Square Ventures I LP
New Enterprise Associates Inc
Stripes Group LLC
T. Rowe Price Threshold Partnerships",,,"30,000.1",,,,,,,,,,,,,,,,
122,06/30/18,09/19/18,Eventbrite Inc,Develop Internet software,United States,EB,230.000,230.0,23.000,Class A Shares,Yes,"Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Global Founders Capital Management GmbH
Tiger Global Management LLC
Tiger Global Management LLC
Tiger Global Management LLC
T. Rowe Price Threshold Partnerships
T. Rowe Price Threshold Partnerships
Tiger Global Management LLC
Tiger Global Management LLC
Duff Ackerman & Goodrich LLC
Lehman Brothers Venture Partners LP
Sequoia Capital Operations LLC
T. Rowe Price Threshold Partnerships
Sequoia Capital Operations LLC
Duff Ackerman & Goodrich LLC
Lehman Brothers Venture Partners LP
Sequoia Capital Operations LLC
Tiger Global Management LLC
Undisclosed Firm
T. Rowe Price Threshold Partnerships
T. Rowe Price Threshold Partnerships
Undisclosed Firm
Sequoia Capital Operations LLC
Tiger Global Management LLC
Undisclosed Firm",,,"356,514.1",,,,,,,,,,,,,,,,
123,06/30/16,09/22/16,Apptio Inc,Software Publishers,United States,APTI,96.000,96.0,16.000,Common Shares,Yes,"Greylock Partners LLC
Madrona Venture Group
Shasta Ventures LP
Andreessen Horowitz LLC
Undisclosed Firm
Undisclosed Firm
Madrona Venture Group
Greylock Partners LLC
Undisclosed Firm
Hillman Co
Undisclosed Firm
Greylock Partners LLC
T. Rowe Price Threshold Partnerships
Shasta Ventures LP
Madrona Venture Group
Madrona Venture Group
Greylock Partners LLC
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Shasta Ventures LP
Shasta Ventures LP
Undisclosed Firm
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Greylock Partners LLC
Madrona Venture Group
Shasta Ventures LP
Ignition Ventures Management LLC
Shasta Ventures LP
Madrona Venture Group
Greylock Partners LLC
Vista Equity Partners LLC
Vista Equity Partners LLC",,,"135,999.9",,,,,,,,,,,,,,,,
124,06/30/15,08/04/15,Sunrun Inc,Electric utility company,United States,RUN,250.600,250.6,14.000,Common Shares,Yes,"Accel Partners & Co Inc
Madrone Capital Partners
Accel Partners & Co Inc
Accel Partners & Co Inc
Foundation Capital LLC
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Madrone Capital Partners
Undisclosed Firm
Accel Partners & Co Inc
Accel Partners & Co Inc
Foundation Capital LLC
Undisclosed Firm
Accel Partners & Co Inc
Accel Partners & Co Inc
Madrone Capital Partners
Sequoia Capital Operations LLC
Undisclosed Firm
Foundation Capital LLC
Undisclosed Firm
Accel Partners & Co Inc
Foundation Capital LLC
Accel Partners & Co Inc
Foundation Capital LLC
Accel Partners & Co Inc
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Foundation Capital LLC
Undisclosed Firm
Foundation Capital LLC
Accel Partners & Co Inc
Madrone Capital Partners
Foundation Capital LLC",,,"317,820.0",,,,,,,,,,,,,,,,
125,09/30/14,10/09/14,HubSpot Inc,Software Reproducing,United States,HUBS,125.000,125.0,25.000,Common Shares,Yes,"General Catalyst Partners LLC
Matrix Partners LP
Scale Venture Partners
Charles River Ventures LLC
Cross Creek Capital LP
Undisclosed Firm
Sequoia Capital Operations LLC
GV Management Co LLC
Undisclosed Firm
GV Management Co LLC
Undisclosed Firm
General Catalyst Partners LLC
General Catalyst Partners LLC
Scale Venture Partners
Scale Venture Partners
Matrix Partners LP
Matrix Partners LP
General Catalyst Partners LLC
Scale Venture Partners
General Catalyst Partners LLC
GV Management Co LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Matrix Partners LP
Undisclosed Firm
General Catalyst Partners LLC
Sequoia Capital Operations LLC
GV Management Co LLC
Undisclosed Firm",,,"101,830.9",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
